slug,positions,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
korveky01,SHOOTING GUARD,11.72,0.6134000000000001,0.7064,0.1086,0.64,11.2,6.04,9.04,1.02,1.06,10.94,15.74,1.42,1.2399999999999998,2.62,0.0958,0.12,-0.32,-0.26,0.5599999999999999,1134,2537,759,1785,232,267,46,884,536,181,114,333,589,3259
koufoko01,CENTER,14.675,0.53575,0.00075,0.18475,11.05,23.825,17.325,6.949999999999999,1.425,3.05,11.55,15.4,1.4,1.25,2.675,0.09975,-1.8,-0.25,-2.075,0.0499999999999999,747,1378,0,1,138,264,488,987,203,138,168,185,571,1632
kurucro01,SMALL FORWARD,9.9,0.5623333333333332,0.5413333333333333,0.1833333333333333,5.633333333333333,15.566666666666665,10.566666666666666,9.366666666666667,3.133333333333333,2.1,24.600000000000005,17.266666666666666,-0.0666666666666666,0.5666666666666667,0.4666666666666667,0.0273333333333333,-4.633333333333334,1.633333333333333,-3.0,-0.1,222,507,68,222,78,100,66,220,68,59,33,103,176,590
labissk01,POWER FORWARD,15.175,0.58075,0.155,0.32,7.674999999999999,20.175,13.875,8.825,1.35,2.925,14.425,18.725,0.3,0.425,0.75,0.09675,-1.6749999999999998,-0.45,-2.1,-0.05,374,774,33,85,165,226,168,368,121,51,74,132,254,946
lambje01,SHOOTING GUARD,15.728571428571428,0.5482857142857143,0.3618571428571428,0.2388571428571428,3.142857142857143,17.314285714285713,10.157142857142857,11.842857142857143,1.6714285714285713,1.7857142857142858,7.928571428571429,21.02857142857143,1.5571428571428572,1.4142857142857144,2.957142857142857,0.1052857142857142,0.3,0.2285714285714285,0.5142857142857143,0.9142857142857144,1651,3686,427,1250,769,896,248,1417,689,315,170,348,672,4498
laymaja01,SMALL FORWARD,9.0,0.4951666666666667,0.4551666666666666,0.1748333333333333,3.0666666666666664,10.233333333333333,6.616666666666667,6.216666666666666,1.6666666666666667,1.8500000000000003,10.4,16.45,0.2166666666666666,0.4166666666666667,0.6333333333333333,0.0234999999999999,-3.0666666666666664,-0.3999999999999999,-3.483333333333333,-0.0333333333333333,458,996,131,437,128,178,102,315,127,99,71,122,254,1175
leaftj01,POWER FORWARD,12.925,0.52975,0.17175,0.16825,7.0,17.325,12.125,4.85,1.575,2.0500000000000003,8.925,17.05,0.325,0.35,0.675,0.07825,-1.875,-0.325,-2.2,0.025,204,415,31,91,38,65,95,188,43,26,28,32,103,477
leeco01,SHOOTING GUARD,11.55714285714286,0.5492857142857143,0.4038571428571428,0.1584285714285714,1.9428571428571428,9.62857142857143,5.757142857142858,10.3,2.057142857142857,0.9285714285714286,9.44285714285714,14.671428571428573,1.2,0.6857142857142857,1.8714285714285717,0.0765714285714285,-1.7142857142857142,0.5571428571428572,-1.157142857142857,0.3285714285714285,1390,3077,438,1138,431,507,166,867,717,391,109,336,615,3649
leeda03,SHOOTING GUARD,11.666666666666666,0.5698333333333333,0.5233333333333333,0.1996666666666666,2.533333333333333,15.416666666666666,9.0,9.2,1.6333333333333335,0.3666666666666667,9.5,16.666666666666668,0.7666666666666666,1.0166666666666666,1.8,0.0826666666666666,-1.5666666666666669,-0.1,-1.65,0.0999999999999999,828,1899,377,995,351,400,139,843,410,189,28,238,471,2384
lemonwa01,POINT GUARD,11.6,0.4795,0.06,0.157,1.3,10.55,5.95,25.700000000000003,1.6,1.4,14.3,26.5,-0.1,0.1,0.0,-0.0225,-3.85,-1.35,-5.199999999999999,-0.05,45,103,3,6,10,14,4,25,35,11,2,14,19,103
leoname01,CENTER,12.56,0.653,0.592,0.2136,5.22,23.4,14.52,8.18,0.72,0.44,14.82,14.580000000000002,0.78,0.5,1.3,0.1248,-0.98,-0.2,-1.16,0.26,314,590,124,290,79,101,103,501,150,36,24,100,269,831
leuerjo01,POWER FORWARD,13.125,0.5567500000000001,0.16875,0.27075,6.15,21.075,13.4,7.25,1.05,1.475,12.75,17.325000000000003,1.075,0.975,2.05,0.09375,-1.85,0.1,-1.7999999999999998,0.375,615,1261,92,291,211,260,212,692,202,82,63,171,346,1533
leverca01,SMALL FORWARD,13.8,0.53,0.3786666666666667,0.2513333333333333,2.833333333333333,12.4,7.633333333333333,20.966666666666665,1.9666666666666668,0.7999999999999999,13.166666666666666,21.03333333333333,0.6666666666666666,1.2666666666666666,1.9333333333333331,0.0683333333333333,-0.8000000000000002,0.2666666666666666,-0.5666666666666668,0.5,698,1598,192,583,285,403,111,488,565,173,44,281,327,1873
linje01,POINT GUARD,14.8,0.55525,0.3135,0.4105,1.1,9.7,5.449999999999999,26.25,1.275,0.7250000000000001,15.725,25.075000000000003,0.625,0.425,1.05,0.07875,-1.0500000000000005,-1.475,-2.5,0.2,656,1494,169,532,474,568,55,438,650,136,40,337,370,1955
livinsh01,POINT GUARD,11.8,0.55925,0.0165,0.214,3.475,8.75,6.3,16.525,1.55,1.575,14.675,13.95,1.525,1.275,2.75,0.104,-2.05,0.475,-1.575,0.15,657,1248,3,22,212,265,144,424,630,161,95,236,451,1529
loftoza01,SHOOTING GUARD,-10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,50.0,21.6,-0.1,0.0,0.0,-0.447,-17.4,6.0,-11.5,0.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
loydjo01,POINT GUARD,16.3,0.635,0.444,0.611,2.0,15.3,8.8,15.1,0.0,0.0,8.1,19.4,0.2,0.0,0.2,0.19,0.0,-0.9,-1.0,0.0,8,18,4,8,9,11,1,8,6,0,0,2,5,29
lucaska01,POINT GUARD,16.6,0.532,1.0,2.0,0.0,56.7,27.3,20.8,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.238,-5.6,6.4,0.8,0.0,0,1,0,1,2,2,0,3,1,0,0,0,1,2
luwawti01,SMALL FORWARD,8.0,0.5132857142857142,0.5727142857142857,0.22,2.6142857142857143,11.085714285714284,6.9,7.1571428571428575,1.2285714285714284,0.7142857142857143,10.6,16.728571428571428,0.1571428571428571,0.5142857142857142,0.6714285714285715,0.0348571428571428,-3.5285714285714285,-0.8428571428571429,-4.342857142857143,-0.3857142857142857,730,1875,356,1072,352,428,135,618,319,151,50,253,678,2168
lydonty01,POWER FORWARD,4.65,0.2975,0.278,0.0835,4.0,6.35,5.2,4.1,0.5,0.0,8.6,5.3,0.05,0.05,0.1,0.036,-3.35,-1.5,-4.800000000000001,-0.05,9,18,4,10,1,3,7,11,6,2,0,4,10,23
machasc01,POINT GUARD,22.2,0.776,0.167,0.167,0.0,0.0,0.0,23.5,2.4,0.0,0.0,14.0,0.1,0.0,0.1,0.281,2.9,2.7,5.5,0.0,4,6,1,1,1,1,0,0,3,1,0,0,2,10
macksh01,POINT GUARD,9.533333333333331,0.4616666666666666,0.2855,0.2585,1.35,9.85,5.633333333333333,23.73333333333333,1.95,0.2166666666666666,16.099999999999998,21.4,0.1333333333333333,0.7833333333333333,0.9166666666666666,-0.0045,-3.816666666666667,-0.9166666666666666,-4.716666666666666,-4.625929269271485e-18,1038,2431,255,769,328,464,105,650,1166,258,25,501,503,2659
maconda01,SHOOTING GUARD,5.5,0.482,0.407,0.259,2.4,11.8,7.1,11.2,0.5,0.0,16.6,17.2,-0.1,0.0,0.0,-0.022,-5.3,-2.6,-7.9,-0.1,10,27,5,11,4,7,2,10,7,1,0,6,8,29
macurjp01,SHOOTING GUARD,2.85,0.1665,0.222,0.0,0.0,9.7,4.75,9.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,-0.066,-4.95,-2.05,-7.050000000000001,0.0,3,9,0,4,0,0,0,3,2,0,0,0,0,6
mahinia01,CENTER,13.82,0.5762,0.0572,0.5638,10.34,19.54,14.9,7.0,2.1,3.5200000000000005,17.580000000000002,14.78,1.08,1.36,2.44,0.1108,-2.96,0.86,-2.12,0.1,618,1121,8,44,377,602,446,869,250,192,201,300,738,1621
makerth01,CENTER,13.88,0.5684,0.3525999999999999,0.4044,7.859999999999999,15.919999999999998,11.96,6.62,1.28,4.08,10.34,15.920000000000002,0.48,0.64,1.14,0.1142,-1.6,0.36,-1.24,-0.0199999999999999,375,842,107,322,200,300,194,426,134,85,140,118,410,1057
makerth01,POWER FORWARD,10.2,0.514,0.56,0.351,4.5,16.5,10.3,6.7,1.0,5.0,13.4,13.7,0.1,0.8,0.9,0.075,-2.9,0.8,-2.1,0.0,50,134,23,75,36,47,24,82,27,11,33,24,50,159
martija01,POWER FORWARD,10.65,0.51375,0.23225,0.30125,7.425,19.075,13.125,5.85,1.075,2.0,12.1,17.15,0.125,0.65,0.8,0.06625,-3.575,-0.825,-4.35,-0.425,376,867,63,182,183,239,189,450,114,67,73,144,411,998
masonfr01,POINT GUARD,12.45,0.4935,0.30625,0.31625,3.25,11.1,7.125,26.575,1.325,0.625,15.025,21.55,0.025,0.275,0.3,0.04625,-2.25,-1.025,-3.275,-0.05,247,624,53,176,148,196,44,160,272,55,15,117,124,695
matenya01,POWER FORWARD,5.7,0.25,0.25,0.0,8.2,16.4,12.3,0.0,3.8,0.0,0.0,13.2,0.0,0.0,0.0,-0.026,-7.5,-1.6,-9.1,0.0,1,4,0,1,0,0,1,2,0,1,0,0,0,2
matthwe02,SMALL FORWARD,10.15,0.537,0.632,0.1815,2.15,8.575,5.375,9.475,1.425,0.825,9.375,15.875,1.05,1.275,2.325,0.06625,-1.525,0.075,-1.475,0.3249999999999999,866,2180,481,1314,320,385,109,542,457,207,58,237,492,2533
mbahalu01,POWER FORWARD,7.675,0.50325,0.35675,0.307,3.65,8.425,6.075,3.2,2.125,0.975,12.825,12.25,0.25,0.8500000000000001,1.1,0.03675,-3.225,-0.05,-3.3000000000000003,0.1249999999999999,270,575,78,221,98,159,85,281,87,119,45,105,208,716
mccalta01,SHOOTING GUARD,9.6,0.581,0.333,0.333,0.0,13.1,6.6,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,0.055,-6.0,-0.6,-6.6,0.0,2,3,0,1,0,1,0,1,0,0,0,0,2,4
mccawpa01,SHOOTING GUARD,6.0,0.4659999999999999,0.4365,0.145,1.65,8.25,5.025,8.575,2.1,0.6000000000000001,17.625,10.975,0.05,0.625,0.7,0.0162499999999999,-4.725,-0.075,-4.8,-0.175,250,596,78,259,81,101,51,227,216,121,29,111,205,659
mccolcj01,SHOOTING GUARD,17.885714285714286,0.5525714285714286,0.371,0.1528571428571428,2.257142857142857,9.785714285714286,5.985714285714286,19.11428571428572,1.3,1.1285714285714286,8.72857142857143,26.52857142857143,3.8,1.3142857142857145,5.085714285714286,0.1021428571428571,2.6714285714285717,-1.2142857142857142,1.4285714285714286,2.0,3877,8525,1212,3053,1119,1348,332,1454,1801,435,212,887,1076,10085
